,Link,Preco,Localizacao,Area_Util_m2,Quartos,Suites,Vagas_Garagem
379,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-304-1208958,1650000.0,BRASÍLIA - ASA SUL,137,3.0,,
380,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-410-1209631,630000.0,BRASÍLIA - ASA NORTE,45,2.0,,
381,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-211-1167694,2180000.0,BRASÍLIA - ASA NORTE,202,4.0,2.0,2.0
382,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-sul-brasilia-df-sqs-407-1201721,800000.0,BRASÍLIA - ASA SUL,60,2.0,1.0,
383,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-211-bloco-j-1138761,1380000.0,BRASÍLIA - ASA NORTE,110,3.0,1.0,1.0
384,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-215-1202179,3675000.0,BRASÍLIA - ASA NORTE,194,4.0,4.0,3.0
385,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-316-1192757,870000.0,BRASÍLIA - ASA NORTE,75,2.0,,1.0
386,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-112-1121298,1630000.0,BRASÍLIA - ASA NORTE,137,3.0,1.0,1.0
387,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-313-bloco-d-1191276,1190000.0,BRASÍLIA - ASA NORTE,118,3.0,1.0,1.0
388,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-sudoeste-brasilia-df-qmsw-5-lote-2-bloco-b-1177086,440000.0,BRASÍLIA - SUDOESTE,24,1.0,1.0,1.0
