localizacao,area_util,quartos,suites,qntd_vagas,preco
BRASÍLIA - SUDOESTE,172,4.0,4.0,3.0,3719927.0
BRASÍLIA - ASA NORTE,51,2.0,1.0,1.0,725000.0
BRASÍLIA - ASA NORTE,260,3.0,2.0,3.0,4300000.0
BRASÍLIA - ASA NORTE,34,1.0,1.0,1.0,375000.0
BRASÍLIA - ASA SUL,138,3.0,1.0,1.0,1750000.0
BRASÍLIA - ASA NORTE,83,2.0,1.0,1.0,1180000.0
BRASÍLIA - ASA NORTE,260,3.0,2.0,3.0,4100000.0
BRASÍLIA - ASA SUL,95,3.0,1.0,1.0,1500000.0
BRASÍLIA - SUDOESTE,37,1.0,2.0,2.0,295000.0
BRASÍLIA - ASA SUL,197,5.0,1.0,2.0,2700000.0
BRASÍLIA - NOROESTE,262,4.0,3.0,3.0,3690000.0
BRASÍLIA - ASA NORTE,39,1.0,1.0,1.0,360000.0
BRASÍLIA - ASA SUL,834,4.0,4.0,1.0,22000000.0
BRASÍLIA - ASA NORTE,25,1.0,1.0,1.0,360000.0
BRASÍLIA - SUDOESTE,58,2.0,1.0,1.0,1019000.0
BRASÍLIA - PARK SUL,315,5.0,5.0,3.0,4650000.0
BRASÍLIA - ASA NORTE,84,2.0,1.0,1.0,1180000.0
BRASÍLIA - OCTOGONAL,69,3.0,1.0,1.0,820000.0
BRASÍLIA - NOROESTE,126,3.0,1.0,2.0,2280000.0
BRASÍLIA - NOROESTE,246,4.0,4.0,4.0,4450000.0
BRASÍLIA - SUDOESTE,94,3.0,1.0,1.0,1450000.0
BRASÍLIA - NOROESTE,53,1.0,3.0,3.0,800000.0
BRASÍLIA - ASA NORTE,137,3.0,1.0,1.0,1630000.0
BRASÍLIA - LAGO NORTE,75,2.0,1.0,2.0,1145000.0
BRASÍLIA - NOROESTE,150,3.0,1.0,2.0,2250000.0
BRASÍLIA - NOROESTE,212,4.0,4.0,3.0,3090000.0
BRASÍLIA - NOROESTE,50,2.0,3.0,1.0,957397.0
BRASÍLIA - SUDOESTE,173,3.0,3.0,4.0,2600000.0
BRASÍLIA - ASA NORTE,47,2.0,1.0,1.0,349000.0
BRASÍLIA - ASA NORTE,100,2.0,1.0,2.0,1690000.0
BRASÍLIA - NOROESTE,208,4.0,4.0,4.0,3495000.0
BRASÍLIA - NOROESTE,43,1.0,3.0,1.0,691949.0
BRASÍLIA - OCTOGONAL,105,3.0,1.0,1.0,1430000.0
BRASÍLIA - ASA SUL,66,2.0,1.0,1.0,1190000.0
BRASÍLIA - NOROESTE,216,4.0,3.0,3.0,3100000.0
BRASÍLIA - ASA NORTE,100,3.0,1.0,1.0,980000.0
BRASÍLIA - PARK SUL,154,4.0,4.0,3.0,2350000.0
BRASÍLIA - SUDOESTE,128,3.0,1.0,2.0,1990000.0
BRASÍLIA - NOROESTE,0,1.0,3.0,3.0,428000.0
BRASÍLIA - ASA NORTE,124,3.0,1.0,2.0,1830000.0
BRASÍLIA - NOROESTE,115,3.0,1.0,3.0,1870000.0
BRASÍLIA - SUDOESTE,61,2.0,2.0,2.0,690000.0
BRASÍLIA - ASA NORTE,133,4.0,1.0,1.0,1850000.0
BRASÍLIA - ASA NORTE,26,1.0,1.0,1.0,315000.0
BRASÍLIA - SUDOESTE,172,4.0,4.0,3.0,4099010.0
BRASÍLIA - ASA NORTE,78,3.0,1.0,1.0,780000.0
BRASÍLIA - NOROESTE,166,3.0,2.0,4.0,2950000.0
BRASÍLIA - ASA SUL,157,4.0,1.0,1.0,2490000.0
BRASÍLIA - PARK SUL,26,1.0,1.0,1.0,440661.0
BRASÍLIA - LAGO NORTE,75,2.0,2.0,2.0,930000.0
BRASÍLIA - ASA NORTE,157,4.0,2.0,2.0,2250000.0
BRASÍLIA - ASA NORTE,42,2.0,1.0,1.0,340000.0
BRASÍLIA - PARK SUL,60,1.0,1.0,2.0,779279.0
BRASÍLIA - ASA NORTE,127,3.0,1.0,1.0,1669000.0
BRASÍLIA - LAGO NORTE,43,1.0,1.0,1.0,530000.0
BRASÍLIA - ASA SUL,107,2.0,1.0,1.0,1350000.0
BRASÍLIA - NOROESTE,170,2.0,1.0,6.0,1990000.0
BRASÍLIA - NOROESTE,197,4.0,4.0,3.0,2799000.0
BRASÍLIA - SUDOESTE,30,1.0,2.0,1.0,319000.0
BRASÍLIA - ASA NORTE,120,3.0,1.0,1.0,1520000.0
BRASÍLIA - NOROESTE,31,1.0,3.0,1.0,520000.0
BRASÍLIA - NOROESTE,175,3.0,1.0,3.0,1780000.0
BRASÍLIA - NOROESTE,201,4.0,4.0,4.0,3750000.0
BRASÍLIA - SUDOESTE,371,4.0,4.0,4.0,7717623.0
BRASÍLIA - ASA SUL,155,4.0,2.0,1.0,1950000.0
BRASÍLIA - ASA SUL,43,1.0,1.0,1.0,795000.0
BRASÍLIA - ASA SUL,159,3.0,1.0,1.0,2260000.0
BRASÍLIA - NOROESTE,184,4.0,4.0,4.0,3080000.0
BRASÍLIA - ASA NORTE,123,4.0,1.0,1.0,1480000.0
BRASÍLIA - NOROESTE,34,1.0,3.0,1.0,585936.0
BRASÍLIA - ASA NORTE,160,4.0,2.0,2.0,2400000.0
BRASÍLIA - ASA SUL,90,3.0,1.0,1.0,1200000.0
BRASÍLIA - NOROESTE,262,4.0,3.0,3.0,3400000.0
BRASÍLIA - ASA SUL,195,4.0,2.0,1.0,3100000.0
BRASÍLIA - ASA NORTE,72,2.0,1.0,1.0,1500000.0
BRASÍLIA - NOROESTE,202,3.0,1.0,3.0,2649689.0
BRASÍLIA - ASA SUL,86,3.0,1.0,1.0,800000.0
BRASÍLIA - OCTOGONAL,86,3.0,1.0,1.0,1249999.0
BRASÍLIA - LAGO NORTE,52,1.0,1.0,1.0,495000.0
BRASÍLIA - NOROESTE,298,4.0,4.0,4.0,5568616.0
BRASÍLIA - ASA NORTE,120,3.0,1.0,1.0,1420000.0
BRASÍLIA - ASA SUL,158,3.0,1.0,1.0,1950000.0
BRASÍLIA - ASA NORTE,95,2.0,1.0,1.0,910000.0
BRASÍLIA - PARK SUL,74,2.0,2.0,2.0,1320000.0
BRASÍLIA - ASA SUL,74,2.0,1.0,1.0,1100000.0
BRASÍLIA - NOROESTE,500,4.0,4.0,5.0,10000000.0
BRASÍLIA - NOROESTE,154,3.0,3.0,3.0,2950000.0
BRASÍLIA - ASA NORTE,96,4.0,1.0,1.0,820000.0
BRASÍLIA - ASA NORTE,112,2.0,1.0,1.0,1780000.0
BRASÍLIA - LAGO NORTE,31,1.0,1.0,1.0,345000.0
BRASÍLIA - NOROESTE,31,1.0,1.0,1.0,520000.0
BRASÍLIA - PARK SUL,372,4.0,4.0,4.0,5474379.0
BRASÍLIA - NOROESTE,486,4.0,4.0,5.0,7400000.0
BRASÍLIA - ASA SUL,110,3.0,1.0,1.0,1200000.0
BRASÍLIA - NOROESTE,292,4.0,4.0,4.0,4500000.0
BRASÍLIA - SUDOESTE,67,1.0,2.0,2.0,735000.0
BRASÍLIA - ASA NORTE,167,4.0,1.0,1.0,2195000.0
BRASÍLIA - PARK SUL,34,1.0,2.0,1.0,567631.0
BRASÍLIA - PARK SUL,134,3.0,3.0,2.0,1490000.0
BRASÍLIA - NOROESTE,175,3.0,1.0,3.0,2444000.0
BRASÍLIA - ASA NORTE,137,3.0,1.0,1.0,1560000.0
BRASÍLIA - SUDOESTE,370,4.0,3.0,4.0,5800000.0
BRASÍLIA - ASA SUL,136,3.0,1.0,1.0,1899000.0
BRASÍLIA - ASA SUL,175,3.0,2.0,1.0,2480000.0
BRASÍLIA - ASA NORTE,108,3.0,1.0,1.0,1200000.0
BRASÍLIA - NOROESTE,401,4.0,4.0,4.0,5990022.0
BRASÍLIA - NOROESTE,125,3.0,3.0,2.0,2144321.0
BRASÍLIA - ASA SUL,73,2.0,1.0,1.0,730000.0
BRASÍLIA - NOROESTE,83,2.0,1.0,2.0,1200000.0
BRASÍLIA - NOROESTE,203,3.0,1.0,3.0,2595000.0
BRASÍLIA - ASA NORTE,61,2.0,1.0,1.0,739000.0
BRASÍLIA - ASA NORTE,44,1.0,1.0,1.0,380000.0
BRASÍLIA - ASA SUL,178,3.0,1.0,1.0,2400000.0
BRASÍLIA - ASA NORTE,78,3.0,1.0,1.0,915000.0
BRASÍLIA - ASA NORTE,42,1.0,1.0,1.0,420000.0
BRASÍLIA - NOROESTE,199,4.0,4.0,2.0,3199000.0
BRASÍLIA - NOROESTE,292,4.0,4.0,4.0,4500000.0
BRASÍLIA - ASA NORTE,25,1.0,1.0,1.0,330000.0
BRASÍLIA - SUDOESTE,65,2.0,2.0,1.0,1150000.0
BRASÍLIA - ASA NORTE,268,3.0,3.0,3.0,4500000.0
BRASÍLIA - ASA NORTE,94,3.0,1.0,1.0,1410000.0
BRASÍLIA - NOROESTE,159,2.0,1.0,3.0,2077140.0
BRASÍLIA - ASA NORTE,78,2.0,1.0,1.0,1120000.0
BRASÍLIA - ASA NORTE,26,1.0,1.0,1.0,307500.0
BRASÍLIA - SUDOESTE,144,4.0,4.0,3.0,2250000.0
BRASÍLIA - ASA NORTE,34,1.0,1.0,1.0,379000.0
BRASÍLIA - ASA NORTE,131,3.0,1.0,1.0,1690000.0
BRASÍLIA - NOROESTE,185,2.0,1.0,3.0,2347670.0
BRASÍLIA - ASA NORTE,124,3.0,1.0,1.0,1580000.0
BRASÍLIA - ASA NORTE,124,4.0,1.0,2.0,1830000.0
BRASÍLIA - ASA NORTE,115,3.0,1.0,1.0,999000.0
BRASÍLIA - ASA NORTE,19,1.0,1.0,1.0,230000.0
BRASÍLIA - SUDOESTE,146,4.0,4.0,2.0,2758779.0
BRASÍLIA - SUDOESTE,79,2.0,2.0,1.0,1100000.0
BRASÍLIA - OCTOGONAL,125,4.0,1.0,1.0,1780000.0
BRASÍLIA - NOROESTE,40,1.0,3.0,1.0,690000.0
BRASÍLIA - SUDOESTE,74,2.0,1.0,1.0,1159000.0
BRASÍLIA - ASA SUL,55,2.0,1.0,1.0,820000.0
BRASÍLIA - PARK SUL,404,4.0,4.0,1.0,5700000.0
BRASÍLIA - ASA SUL,89,3.0,1.0,1.0,850000.0
BRASÍLIA - ASA NORTE,84,3.0,1.0,1.0,1150000.0
BRASÍLIA - ASA NORTE,110,3.0,1.0,2.0,1470000.0
BRASÍLIA - NOROESTE,34,1.0,1.0,1.0,429000.0
BRASÍLIA - ASA SUL,172,3.0,1.0,1.0,2150000.0
BRASÍLIA - ASA SUL,50,2.0,1.0,1.0,515000.0
BRASÍLIA - ASA NORTE,25,1.0,1.0,1.0,245000.0
BRASÍLIA - ASA NORTE,110,3.0,1.0,1.0,1450000.0
BRASÍLIA - ASA NORTE,202,2.0,2.0,1.0,2180000.0
BRASÍLIA - ASA SUL,49,1.0,1.0,1.0,880000.0
BRASÍLIA - SUDOESTE,172,4.0,4.0,3.0,3959430.0
BRASÍLIA - ASA SUL,148,4.0,1.0,1.0,2250000.0
BRASÍLIA - NOROESTE,301,4.0,4.0,4.0,4550000.0
BRASÍLIA - ASA NORTE,178,2.0,1.0,1.0,2199000.0
BRASÍLIA - PARK SUL,129,4.0,4.0,2.0,1950000.0
BRASÍLIA - NOROESTE,148,2.0,1.0,2.0,1890000.0
BRASÍLIA - SUDOESTE,62,2.0,2.0,2.0,690000.0
BRASÍLIA - LAGO NORTE,69,1.0,1.0,1.0,690000.0
BRASÍLIA - NOROESTE,185,4.0,4.0,3.0,2790000.0
BRASÍLIA - JARDINS MANGUEIRAL,50,2.0,1.0,1.0,295000.0
BRASÍLIA - ASA NORTE,189,4.0,1.0,1.0,2149000.0
BRASÍLIA - PARK SUL,50,1.0,1.0,2.0,850000.0
BRASÍLIA - ASA NORTE,100,3.0,1.0,1.0,1599000.0
BRASÍLIA - PARK SUL,129,4.0,2.0,2.0,2100000.0
BRASÍLIA - NOROESTE,160,4.0,2.0,3.0,2570000.0
BRASÍLIA - ASA SUL,120,3.0,1.0,1.0,1650000.0
BRASÍLIA - LAGO NORTE,53,2.0,1.0,1.0,530000.0
BRASÍLIA - ASA NORTE,29,1.0,1.0,1.0,295000.0
BRASÍLIA - ASA NORTE,137,3.0,1.0,1.0,1570000.0
BRASÍLIA - NOROESTE,84,2.0,2.0,1.0,1300000.0
BRASÍLIA - ASA NORTE,73,2.0,1.0,1.0,1070000.0
BRASÍLIA - PARK SUL,64,2.0,1.0,1.0,989000.0
BRASÍLIA - ASA NORTE,41,2.0,1.0,1.0,519000.0
BRASÍLIA - ASA SUL,136,2.0,1.0,1.0,2100000.0
BRASÍLIA - NOROESTE,71,2.0,2.0,1.0,1380000.0
BRASÍLIA - ASA SUL,63,2.0,1.0,1.0,990000.0
BRASÍLIA - ASA NORTE,25,1.0,1.0,1.0,335000.0
BRASÍLIA - ASA NORTE,25,1.0,1.0,1.0,385000.0
BRASÍLIA - NOROESTE,111,3.0,1.0,2.0,1840000.0
BRASÍLIA - ASA NORTE,141,2.0,1.0,2.0,1400000.0
BRASÍLIA - SUDOESTE,26,1.0,1.0,1.0,611000.0
BRASÍLIA - NOROESTE,160,4.0,2.0,3.0,2570000.0
BRASÍLIA - SUDOESTE,27,1.0,1.0,1.0,469000.0
BRASÍLIA - LAGO NORTE,32,1.0,1.0,1.0,335000.0
BRASÍLIA - ASA NORTE,90,3.0,1.0,1.0,1080000.0
BRASÍLIA - ASA SUL,108,3.0,1.0,1.0,1350000.0
BRASÍLIA - SUDOESTE,200,3.0,2.0,2.0,2480000.0
BRASÍLIA - NOROESTE,3,3.0,3.0,4.0,4500000.0
BRASÍLIA - ASA NORTE,110,3.0,1.0,2.0,1470000.0
BRASÍLIA - NOROESTE,85,2.0,1.0,2.0,1395000.0
BRASÍLIA - JARDINS MANGUEIRAL,50,2.0,1.0,1.0,295000.0
BRASÍLIA - ASA SUL,121,2.0,1.0,1.0,2600000.0
BRASÍLIA - ASA NORTE,38,1.0,1.0,1.0,340000.0
BRASÍLIA - ASA NORTE,175,3.0,3.0,2.0,2399000.0
BRASÍLIA - SUDOESTE,287,5.0,5.0,4.0,3490000.0
BRASÍLIA - NOROESTE,34,1.0,1.0,1.0,625000.0
BRASÍLIA - ASA NORTE,343,4.0,4.0,3.0,4200000.0
BRASÍLIA - ASA NORTE,130,4.0,1.0,1.0,1380000.0
