localizacao,area_util,quartos,suites,qntd_vagas,preco
BRASÍLIA - SUDOESTE,371,4.0,4.0,4.0,7063000.0
BRASÍLIA - ASA NORTE,70,2.0,1.0,1.0,1170000.0
BRASÍLIA - ASA SUL,159,3.0,1.0,1.0,2490000.0
BRASÍLIA - PARK SUL,84,2.0,1.0,2.0,1550000.0
BRASÍLIA - PARK SUL,129,4.0,4.0,2.0,1930000.0
BRASÍLIA - ASA NORTE,95,3.0,1.0,1.0,1090000.0
BRASÍLIA - ASA NORTE,125,3.0,1.0,1.0,1300000.0
BRASÍLIA - NOROESTE,152,4.0,2.0,3.0,2450000.0
BRASÍLIA - NOROESTE,208,4.0,4.0,4.0,3150000.0
BRASÍLIA - ASA NORTE,63,3.0,1.0,1.0,800000.0
BRASÍLIA - ASA SUL,80,2.0,1.0,1.0,2492000.0
BRASÍLIA - PARK SUL,36,2.0,2.0,1.0,409000.0
BRASÍLIA - PARK SUL,126,3.0,3.0,3.0,1994869.0
BRASÍLIA - NOROESTE,93,3.0,1.0,2.0,1480000.0
BRASÍLIA - ASA SUL,157,3.0,2.0,1.0,2700000.0
BRASÍLIA - SUDOESTE,98,3.0,1.0,1.0,1590000.0
BRASÍLIA - NOROESTE,166,4.0,2.0,3.0,2349000.0
BRASÍLIA - SUDOESTE,195,4.0,3.0,2.0,3300000.0
BRASÍLIA - PARK SUL,60,2.0,1.0,1.0,650000.0
BRASÍLIA - NOROESTE,202,3.0,1.0,3.0,2782173.0
BRASÍLIA - SUDOESTE,89,2.0,2.0,1.0,1190000.0
BRASÍLIA - NOROESTE,500,4.0,4.0,5.0,9800000.0
BRASÍLIA - NOROESTE,164,3.0,3.0,3.0,2990000.0
BRASÍLIA - NOROESTE,110,3.0,1.0,2.0,1700000.0
BRASÍLIA - SUDOESTE,80,2.0,1.0,2.0,1190000.0
BRASÍLIA - NOROESTE,169,2.0,2.0,3.0,2450000.0
BRASÍLIA - ASA NORTE,53,2.0,1.0,1.0,750000.0
BRASÍLIA - ASA NORTE,83,3.0,1.0,1.0,930000.0
BRASÍLIA - SUDOESTE,212,4.0,4.0,3.0,2990000.0
BRASÍLIA - NOROESTE,125,3.0,3.0,2.0,2150000.0
BRASÍLIA - NOROESTE,126,2.0,2.0,2.0,2299000.0
BRASÍLIA - LAGO NORTE,93,2.0,1.0,1.0,1090000.0
BRASÍLIA - ASA NORTE,135,4.0,1.0,1.0,1850000.0
BRASÍLIA - NOROESTE,590,4.0,4.0,4.0,9500000.0
BRASÍLIA - NOROESTE,462,4.0,4.0,4.0,7490000.0
BRASÍLIA - NOROESTE,71,2.0,1.0,1.0,1270000.0
BRASÍLIA - NOROESTE,311,4.0,3.0,4.0,5220000.0
BRASÍLIA - SUDOESTE,61,2.0,1.0,2.0,750000.0
